frame,forcedBlank,brightness,bgMode,bg3Prio,TM,TS,cmEnabled,cmAddSub,cmHalve,cmSubtract,fixedColor,bg1_map,bg1_chr,bg1_hs,bg1_vs,bg2_map,bg2_chr,bg2_hs,bg2_vs,bg3_map,bg3_chr,bg3_hs,bg3_vs,w0l,w0r,w1l,w1r,wram10,wram0A,wram0E
60,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
120,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,75,1
180,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,126,0,30720,24576,249,0,255,0,255,0,0,135,0
240,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,115,0,30720,24576,204,0,255,0,255,0,0,195,0
300,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,103,0,30720,24576,159,0,255,0,255,0,0,255,0
360,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,92,0,30720,24576,114,0,255,0,255,0,0,59,0
420,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,81,0,30720,24576,69,0,255,0,255,0,0,119,0
480,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,70,0,30720,24576,24,0,255,0,255,0,0,179,0
540,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,58,0,30720,24576,1003,0,255,0,255,0,0,239,0
600,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,47,0,30720,24576,958,0,255,0,255,0,0,43,0
660,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,36,0,30720,24576,913,0,255,0,255,0,0,103,0
720,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,25,0,30720,24576,868,0,255,0,255,0,0,163,0
780,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,13,0,30720,24576,823,0,255,0,255,0,0,223,0
840,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,2,0,30720,24576,778,0,255,0,255,0,0,27,0
900,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,733,0,255,0,255,0,0,87,0
960,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,688,0,255,0,255,0,0,147,0
1020,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,643,0,255,0,255,0,0,207,0
1080,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,924,0,30720,24576,574,0,255,0,255,0,0,11,0
1140,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,195,0,255,0,255,0,0,71,0
1200,0,15,1,1,16,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,739,0,255,0,255,0,0,131,0
1260,0,15,1,1,17,0,63,1,0,0,0,26624,0,992,0,28672,8192,828,0,30720,24576,259,0,255,0,255,0,0,191,0
1320,0,15,1,1,19,0,63,1,0,0,0,28672,8192,72,0,26624,0,88,0,30720,24576,803,0,255,0,255,0,0,251,0
1380,0,15,1,1,17,0,63,1,0,0,0,28672,8192,976,0,26624,0,112,0,30720,24576,323,0,255,0,255,0,0,55,0
1440,0,15,1,1,17,0,63,1,0,0,0,26624,0,6,0,28672,8192,910,0,30720,24576,867,0,255,0,255,0,0,115,0
1500,0,15,1,1,17,0,63,1,0,0,0,28672,8192,34,0,26624,0,112,0,30720,24576,387,0,255,0,255,0,0,175,0
1560,0,15,1,1,18,0,63,1,0,0,0,26624,0,958,0,28672,8192,938,0,30720,24576,931,0,255,0,255,0,0,235,0
1620,0,15,1,1,16,0,63,1,0,0,0,26624,0,958,0,28672,8192,910,0,30720,24576,451,0,255,0,255,0,0,39,0
1680,0,15,1,1,16,0,0,0,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,11,0,255,0,255,0,0,99,0
1740,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,0,28672,0,0,997,30720,24576,1005,0,255,0,255,0,0,159,0
1800,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,945,28672,0,0,1012,30720,24576,975,0,255,0,255,0,0,219,0
1860,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1005,28672,0,0,1023,30720,24576,945,0,255,0,255,0,0,23,0
1920,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,0,28672,0,0,1023,30720,24576,915,0,255,0,255,0,0,83,0
1980,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,0,28672,0,0,1023,30720,24576,885,0,255,0,255,0,0,143,0
2040,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,0,28672,0,0,1022,30720,24576,855,0,255,0,255,0,0,203,0
2100,0,15,1,1,0,0,0,0,0,0,0,26624,0,768,0,28672,0,768,0,30720,24576,604,0,255,0,255,0,0,7,0
2160,0,15,1,1,0,0,0,0,0,0,0,26624,0,79,0,28672,0,768,0,30720,24576,514,0,255,0,255,0,0,67,0
2220,0,15,1,1,0,0,63,0,0,0,4228,26624,0,33,0,28672,0,768,0,30720,24576,843,38,255,0,255,0,0,127,0
2280,0,15,1,1,23,0,63,1,0,0,32767,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,187,1
2340,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,247,0
2400,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,51,0
2460,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,111,0
2520,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,171,0
2580,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,231,0
2640,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,35,0
2700,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,95,0
2760,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,155,0
2820,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,215,0
2880,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,19,0
2940,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,79,0
3000,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,139,0
3060,1,15,1,1,23,0,63,1,0,1,32767,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,199,1
3120,1,0,1,1,0,0,0,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,2,3,3
3180,1,0,1,1,19,0,51,0,0,0,0,26624,0,128,232,30720,0,0,232,24576,12288,0,818,88,168,255,0,2,63,0
3240,1,0,1,1,23,0,0,0,0,0,0,26624,0,164,232,30720,0,0,232,24576,12288,0,848,255,0,255,0,2,123,0
3300,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,232,30720,0,0,232,24576,12288,0,878,255,0,255,0,2,183,0
3360,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,908,255,0,255,0,2,243,0
3420,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,938,255,0,255,0,2,47,0
3480,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,968,255,0,255,0,2,107,0
3540,1,0,1,1,23,0,0,0,0,0,0,26624,0,188,231,30720,0,0,232,24576,12288,0,998,255,0,255,0,2,167,0
3600,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,4,255,0,255,0,2,227,0
3660,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,34,255,0,255,0,2,31,0
3720,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,64,255,0,255,0,2,91,0
3780,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,230,30720,0,0,231,24576,12288,0,94,255,0,255,0,2,151,0
3840,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,224,30720,0,0,228,24576,12288,0,124,255,0,255,0,2,211,0
3900,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,171,30720,0,0,202,24576,12288,0,154,255,0,255,0,2,15,0
3960,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,184,255,0,255,0,2,75,0
4020,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,214,255,0,255,0,2,135,0
4080,1,0,1,1,23,0,0,0,0,0,0,26624,0,191,231,30720,0,0,232,24576,12288,0,224,255,0,255,0,0,195,1
4140,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,255,1
4200,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,122,0,30720,24576,235,0,255,0,255,0,0,59,0
4260,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,111,0,30720,24576,190,0,255,0,255,0,0,119,0
4320,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,100,0,30720,24576,145,0,255,0,255,0,0,179,0
4380,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,89,0,30720,24576,100,0,255,0,255,0,0,239,0
4440,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,77,0,30720,24576,55,0,255,0,255,0,0,43,0
4500,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,66,0,30720,24576,10,0,255,0,255,0,0,103,0
4560,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,55,0,30720,24576,989,0,255,0,255,0,0,163,0
4620,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,44,0,30720,24576,944,0,255,0,255,0,0,223,0
4680,0,15,1,1,18,0,63,1,0,0,0,26624,0,0,0,28672,0,32,0,30720,24576,899,0,255,0,255,0,0,27,0
4740,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,21,0,30720,24576,854,0,255,0,255,0,0,87,0
4800,0,15,1,1,2,0,63,1,0,0,0,26624,0,0,0,28672,0,10,0,30720,24576,809,0,255,0,255,0,0,147,0
4860,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,764,0,255,0,255,0,0,207,0
4920,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,719,0,255,0,255,0,0,11,0
4980,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,674,0,255,0,255,0,0,71,0
5040,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,629,0,255,0,255,0,0,131,0
5100,0,15,1,1,0,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,496,0,255,0,255,0,0,191,0
5160,0,15,1,1,16,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,51,0,255,0,255,0,0,251,0
5220,0,15,1,1,16,0,63,1,0,0,0,26624,0,0,0,28672,0,828,0,30720,24576,595,0,255,0,255,0,0,55,0
5280,0,15,1,1,17,0,63,1,0,0,0,26624,0,4,0,28672,8192,828,0,30720,24576,115,0,255,0,255,0,0,115,0
5340,0,15,1,1,17,0,63,1,0,0,0,28672,8192,36,0,26624,0,112,0,30720,24576,659,0,255,0,255,0,0,175,0
5400,0,15,1,1,19,0,63,1,0,0,0,26624,0,946,0,28672,8192,940,0,30720,24576,179,0,255,0,255,0,0,235,0
5460,0,15,1,1,17,0,63,1,0,0,0,26624,0,42,0,28672,8192,910,0,30720,24576,723,0,255,0,255,0,0,39,0
5520,0,15,1,1,17,0,63,1,0,0,0,28672,8192,1022,0,26624,0,112,0,30720,24576,243,0,255,0,255,0,0,99,0
5580,0,15,1,1,16,0,63,1,0,0,0,26624,0,958,0,28672,8192,910,0,30720,24576,787,0,255,0,255,0,0,159,0
5640,0,15,1,1,16,4,16,1,0,0,0,26624,0,958,0,28672,8192,910,0,30720,24576,307,0,255,0,255,0,0,219,0
5700,0,15,1,1,16,0,0,0,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,11,0,255,0,255,0,0,23,0
5760,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,902,28672,0,0,1001,30720,24576,996,0,255,0,255,0,0,83,0
5820,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,962,28672,0,0,1016,30720,24576,966,0,255,0,255,0,0,143,0
5880,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1022,28672,0,0,1023,30720,24576,936,0,255,0,255,0,0,203,0
5940,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1023,28672,0,0,1023,30720,24576,906,0,255,0,255,0,0,7,0
6000,0,15,1,1,0,0,0,0,0,0,0,26624,0,0,1023,28672,0,0,1023,30720,24576,876,0,255,0,255,0,0,67,0
6060,0,15,1,1,0,0,0,0,0,0,0,26624,0,967,0,28672,0,931,1023,30720,24576,827,0,255,0,255,0,0,127,0
6120,0,15,1,1,0,0,0,0,0,0,0,26624,0,768,0,28672,0,768,0,30720,24576,535,0,255,0,255,0,0,187,0
6180,0,15,1,1,0,0,0,0,0,0,0,26624,0,28,0,28672,0,768,0,30720,24576,505,0,255,0,255,0,0,247,0
6240,0,15,1,1,0,0,63,0,0,0,23254,26624,0,54,0,28672,0,768,0,30720,24576,863,38,255,0,255,0,0,51,0
6300,0,15,1,1,23,0,63,1,0,0,32767,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,111,0
6360,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,171,0
6420,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,992,28672,0,0,992,30720,24576,0,0,255,0,255,0,0,231,0
6480,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,35,0
6540,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,95,0
6600,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,155,0
6660,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,215,0
6720,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,19,0
6780,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,79,0
6840,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,139,0
6900,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,199,0
6960,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,3,0
7020,0,15,1,1,23,0,63,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,63,0
7080,1,15,1,1,7,0,0,1,0,0,0,26624,0,0,0,28672,0,0,0,30720,24576,0,0,255,0,255,0,0,123,1
7140,1,0,1,1,23,0,0,1,0,0,0,26624,0,191,231,28672,0,0,0,30720,24576,0,0,255,0,255,0,2,183,3
7200,1,0,1,1,23,0,0,0,0,0,0,26624,0,128,232,30720,0,0,232,24576,12288,0,826,255,0,255,0,2,243,0
7260,1,0,1,1,23,0,0,0,0,0,0,26624,0,148,232,30720,0,10,232,24576,12288,0,856,255,0,255,0,2,47,0
7320,1,0,1,1,23,0,0,0,0,0,0,26624,0,158,232,30720,0,15,232,24576,12288,0,885,255,0,255,0,2,107,0
7380,1,0,1,1,23,0,0,0,0,0,0,26624,0,150,232,30720,0,11,232,24576,12288,0,912,255,0,255,0,2,167,0
7440,1,0,1,1,23,0,0,0,0,0,0,26624,0,185,195,30720,0,28,214,24576,12288,0,942,255,0,255,0,2,227,0
7500,1,0,1,1,23,0,0,0,0,0,0,26624,0,185,231,30720,0,28,232,24576,12288,0,972,255,0,255,0,2,31,0
7560,1,0,1,1,23,0,0,0,0,0,0,26624,0,132,231,30720,0,2,232,24576,12288,0,1002,255,0,255,0,2,91,0
7620,1,0,1,1,23,0,0,0,0,0,0,26624,0,134,164,30720,0,3,198,24576,12288,0,8,255,0,255,0,2,151,0
